,day,wdsp,total_num_of_crimes
618,5,9.5,0.702970297
549,4,11,0.615384615
1328,7,7.7,0.71957672
1500,5,9.7,0.665346535
2157,6,9.6,0.514529915
1485,6,6.2,0.572649573
1457,4,11.1,0.615238095
1917,1,8.8,0.613675214
1288,3,4.2,0.763888889
1223,7,5.2,0.739047619
508,6,6.5,0.640873016
1272,2,6.7,0.778217822
1879,6,10.1,0.647302905
151,7,10.4,0.500881834
1187,1,6.7,0.796190476
1682,3,9.8,0.622574956
1816,7,10.1,0.714285714
2095,7,7.8,0.678423237
1872,4,5.7,0.598019802
1004,2,12.9,0.779541446
1358,5,5.2,0.703703704
836,2,10.6,0.633156966
1128,6,7,0.742574257
2182,5,10.9,0.686507937
1771,2,16.1,0.636929461
904,2,7.9,0.708333333
512,4,13.9,0.597883598
356,6,7.4,0.582010582
1155,7,5.9,0.622222222
1727,7,12.9,0.563809524
991,5,10.6,0.79253112
171,5,9,0.634920635
302,5,8.8,0.507692308
2129,4,7.5,0.636190476
2067,5,8.3,0.564102564
959,5,8.6,0.742857143
1040,1,4.8,0.686067019
899,2,9.7,0.739047619
940,1,10.2,0.706349206
1174,5,8.5,0.734126984
1833,1,8.9,0.687179487
1293,2,6.1,0.581196581
158,2,6.1,0.586324786
1674,6,6.9,0.637623762
458,2,9.4,0.703703704
1753,6,7.7,0.65560166
1598,3,5.3,0.717813051
42,1,15.5,0.639004149
772,1,9.2,0.746031746
1553,6,7.8,0.697142857
984,3,7,0.742574257
1449,7,4.3,0.634188034
2060,3,9,0.649029982
934,7,9.9,0.712301587
1890,7,8,0.588118812
1287,1,9.5,0.629059829
1148,5,5.3,0.761904762
676,6,7.2,0.630952381
510,1,10,0.691089109
2005,6,11.3,0.622406639
1591,7,10.1,0.641078838
1407,7,9.9,0.603418803
131,1,9,0.665346535
882,7,4.1,0.84950495
101,3,8.2,0.607920792
1770,1,6.7,0.655445545
1503,2,8,0.567521368
1654,1,3.9,0.716269841
1989,6,12.3,0.531623932
106,3,9.1,0.636190476
1249,6,11.8,0.765560166
24,5,8.4,0.70746888
1228,7,10.8,0.742063492
1839,2,5.7,0.598290598
1593,3,4.6,0.663247863
1054,6,7.2,0.726190476
128,4,4.8,0.618803419
1206,5,11.5,0.734653465
154,4,11.5,0.592380952
115,1,7.7,0.559082892
1691,1,3.2,0.693333333
213,5,6.3,0.609126984
173,1,13.2,0.617821782
2172,5,15.6,0.685148515
749,5,15.1,0.691428571
319,7,8.9,0.513227513
578,1,6.9,0.643738977
1130,2,11.2,0.708994709
631,1,7.8,0.686721992
537,2,9.4,0.579487179
911,4,5.3,0.817142857
1922,1,13.3,0.534391534
1512,7,15.3,0.596039604
1860,2,12.8,0.738613861
1046,2,6,0.69664903
1743,7,2.8,0.509401709
1068,3,7.4,0.768316832
201,3,9.8,0.654761905
823,5,9.2,0.771784232
804,1,8.3,0.798019802
1867,4,11.6,0.639004149
572,7,6.4,0.574955908
2066,4,8.4,0.488536155
1658,6,13.5,0.589065256
923,6,6.2,0.727619048
1851,4,10.1,0.634188034
768,2,6,0.728712871
308,6,6.3,0.512820513
1480,7,6.7,0.702380952
491,4,9.4,0.596190476
1477,2,9.5,0.636929461
1030,2,7.4,0.746031746
987,7,7.2,0.68034188
2021,7,3.6,0.596190476
315,1,4.2,0.563492063
1971,3,9.3,0.500854701
375,3,10.4,0.499145299
357,7,5.1,0.593162393
1731,5,8.8,0.523076923
1322,6,9.1,0.687830688
2055,3,7.8,0.517948718
1735,3,13.8,0.751037344
1467,3,7.6,0.620512821
1009,1,6.7,0.755186722
280,4,6.7,0.552380952
1364,6,7.1,0.643738977
2010,6,11.6,0.722772277
1874,7,9.3,0.523809524
999,2,8.5,0.700854701
1448,6,11.5,0.707231041
1127,5,9.1,0.683809524
455,5,8,0.613333333
2130,5,13.1,0.655445545
1106,5,5.9,0.680776014
935,1,9,0.67047619
979,3,9,0.736514523
980,5,7.7,0.793650794
1959,1,8.8,0.52991453
1715,5,6.2,0.676190476
761,7,8.5,0.577142857
191,4,11.5,0.736633663
1067,2,6,0.746666667
668,2,10.9,0.634920635
845,7,9.8,0.63047619
396,3,11.9,0.615841584
1356,2,4.2,0.75049505
824,7,7.7,0.721340388
1639,1,6.6,0.736514523
602,5,4.5,0.60670194
1181,7,10.3,0.68952381
1190,5,6,0.71957672
1624,3,9.4,0.597222222
1496,7,3.9,0.670194004
1314,2,3.9,0.699009901
993,1,6.7,0.564102564
1813,2,7.4,0.65560166
635,7,12,0.626666667
1078,3,6.8,0.78968254
1604,4,3.3,0.634920635
1649,1,9,0.6
1838,1,12.4,0.668430335
366,5,6,0.702970297
620,1,14.9,0.566137566
887,7,5.2,0.643809524
224,6,7.2,0.502564103
1546,4,7.4,0.716269841
664,4,6.4,0.642857143
1259,6,11.4,0.678095238
1038,5,12.3,0.695049505
870,5,6.6,0.772277228
1810,6,10.7,0.819444444
1850,3,8.1,0.671957672
363,1,6.6,0.535042735
461,6,12.1,0.598095238
473,1,9.6,0.611428571
1284,4,7.8,0.861386139
2093,5,9.1,0.643809524
968,3,7.5,0.604938272
2008,4,12.4,0.716269841
1452,4,7.5,0.786138614
1098,1,6.4,0.835643564
1137,4,7.2,0.54017094
1766,3,5.8,0.590828924
1014,1,11.4,0.857425743
1026,3,6.3,0.930693069
808,7,8.7,0.712301587
1435,2,9.7,0.701244813
533,4,12.2,0.615238095
752,2,11.5,0.689594356
153,2,14.3,0.591269841
545,6,5.6,0.723809524
727,3,9.1,0.807053942
386,4,7.6,0.53968254
1708,3,10,0.674603175
447,1,11.7,0.637606838
1248,5,8.3,0.764356436
2036,6,11,0.567901235
1612,1,12.7,0.724206349
658,3,9.2,0.676587302
2133,2,6.9,0.52991453
1225,2,7.1,0.796680498
594,1,6.8,0.641584158
1998,4,5.6,0.621782178
1665,1,7.4,0.622222222
271,6,5.1,0.479717813
1368,4,4.5,0.758415842
885,4,5.3,0.675213675
1113,7,3.5,0.717948718
500,2,11.7,0.596119929
218,5,9.4,0.535042735
813,6,6,0.765811966
2075,2,14,0.603809524
1561,2,6.9,0.755186722
1680,7,8.6,0.62970297
448,3,19.8,0.648809524
418,5,5.4,0.648809524
1296,6,7.9,0.906930693
949,5,7.9,0.831950207
270,4,9,0.753112033
2090,1,10.1,0.596119929
159,3,9.8,0.666666667
160,5,11.7,0.653333333
1586,1,6.2,0.686067019
314,7,8.7,0.471794872
1800,6,5.4,0.681188119
735,7,8.5,0.593162393
1380,6,7,0.772277228
834,6,5.1,0.637623762
891,5,8.7,0.682051282
240,6,6.5,0.690871369
1579,5,3.7,0.788381743
744,5,14.7,0.772277228
1305,4,7.9,0.683760684
1653,6,17.7,0.598290598
1095,4,9.3,0.6
937,3,8.7,0.755186722
1359,6,6.2,0.617094017
2120,6,4.7,0.62962963
1565,1,7.5,0.699047619
2029,3,11.4,0.709543568
1613,2,7.5,0.695238095
582,6,8.7,0.6
1219,1,12.2,0.744813278
1196,6,3.8,0.677248677
2078,6,7.5,0.641975309
852,2,4.3,0.774257426
665,5,12.6,0.72
2114,5,4.1,0.67372134
1396,7,8.9,0.746031746
914,1,14.3,0.758377425
235,7,6,0.522045855
2097,3,11.9,0.564102564
1848,7,13.3,0.59009901
1295,5,12.4,0.887619048
1375,6,5.3,0.738589212
71,5,16.8,0.63960396
971,7,13.8,0.68952381
113,5,12.5,0.635643564
797,6,6.4,0.634285714
1963,6,4.8,0.67219917
262,1,8.6,0.638095238
755,6,12.3,0.634285714
486,4,6,0.641584158
1335,2,6.9,0.629059829
18,4,9.8,0.753112033
1169,5,7.6,0.731428571
800,3,8.9,0.677248677
972,1,8.7,0.736633663
1360,1,6.7,0.744047619
889,2,7.9,0.763485477
1216,5,7.7,0.75
85,3,11.7,0.619047619
2145,4,14.3,0.548717949
1086,6,9.9,0.801980198
1191,6,8,0.613675214
1055,7,11,0.68952381
1337,5,8.5,0.651428571
2103,4,14.7,0.588034188
932,4,7.2,0.698412698
1481,1,10.9,0.662857143
983,2,6.7,0.742857143
1690,7,6.2,0.601190476
1120,3,7.6,0.702380952
1039,6,8.3,0.790456432
1013,7,10.8,0.697142857
