,wdsp,prcp,temp,sndp,total_num_of_crimes
1624,6.4,0.15,34.4,0,0.596039604
45,12.9,0,8.4,0,0.57319224
433,7.9,0,44.5,0,0.629059829
686,11.2,0.02,30.4,0,0.00114166
1670,10.4,0,20.3,5.1,0.649377593
1908,10.3,0,39.5,0,0.670124481
1663,15.5,0,45.6,0,0.639004149
1283,10.2,0,60,0,0.676190476
317,11.5,0,25.3,0,0.710758377
1351,6,0,30.5,1.2,0.633663366
1016,5.4,0,30.1,0,0.548571429
1048,6.9,0,46.4,0,0.76
1936,10.1,0,39.9,0,0.622406639
1806,12.9,0.01,86,0,0.765560166
109,9.8,0.08,49.1,0,0.728395062
1900,16.1,0.08,50.8,0,0.636929461
763,8.7,0,55.9,0,0.001318815
961,5.3,0.3,57.8,0,0.00142117
408,6.2,0,29.2,0,0.533333333
722,8.9,0,40.8,0,0.001137724
293,15.3,0,48.5,0,0.592592593
419,9.1,0.21,54.6,0,0.553846154
794,6.1,0,60.8,0,0.001495969
1353,15.9,0.01,56.6,0,0.611881188
1534,5.4,0,79.9,0,0.811881188
305,15.2,0,15.6,0,0.552028219
1712,15.8,0.06,45.6,0,0.728215768
1850,3.8,0.67,71.3,0,0.782157676
1088,8.1,0.24,48.6,0,0.683809524
746,15.2,0.39,60.9,0,0.001354245
1524,7.8,0.04,77.7,0,0.861386139
1525,4.9,0,77.1,0,0.851485149
156,6.8,0.84,68.3,0,0.724867725
1176,7.4,0,75.4,0,0.683809524
278,5.8,0,50.4,0,0.590828924
192,7.3,0,75.5,0,0.680776014
639,12,0.03,53.1,0,0.54017094
1739,4,0,55.7,0,0.773858921
427,3.8,0,62.4,0,0.632478632
1688,10.5,0,35,0,0.630705394
341,11.8,0,45.8,0,0.57319224
1863,9.3,0,71.6,0,0.780082988
526,8.2,0,80.8,0,0.64957265
1760,7.6,0,67,0,0.790456432
1744,10.7,0.47,66.1,0,0.736514523
684,8.6,0,33.9,1.2,0.001314878
477,9.6,0,62.4,0,0.564102564
306,12.2,0,24.5,0,0.532627866
407,12.1,0.01,30.8,1.2,0.601709402
1827,5.3,0,75,0,0.734439834
517,6.9,0,69.4,0,0.531623932
595,13,0.02,53.4,0,0.492307692
1386,10,0.01,28.8,0,0.592079208
1887,7.5,0,61.7,0,0.728215768
1666,4.4,0,26.7,0,0.730290456
519,8,0.03,82.5,0,0.613675214
1661,8.4,0,37.9,0,0.70746888
1286,11.3,0,68.6,0,0.672380952
954,7.4,0.63,49,0,0.001283384
1787,6.9,0.26,79.2,0,0.919087137
1398,13,0,34.3,0,0.60990099
366,12.7,0.03,36.1,0,0.582905983
613,7.5,0,61.2,0,0.618803419
1046,12.1,0,34.4,0,0.596190476
974,2.9,0,49.6,0,0.001429044
1394,9.7,0.14,36.7,0,0.691089109
532,9.9,0,80.7,0,0.668376068
39,6.5,0.27,37,2,0.590828924
280,5.1,0,59.1,0,0.693121693
806,6,1.09,69.9,0,0.001751858
423,10.5,0.11,63.3,0,0.625641026
797,5.7,0,68.5,0,0.001495969
36,8.7,0,23.9,11,0.504409171
352,9.1,0,23.5,3.1,0.664957265
1139,5.4,0,60.8,0,0.672380952
1280,12.9,5.2,60.9,0,0.563809524
1293,10.9,0,38.7,0,0.56952381
1418,9.5,0.02,45.8,0,0.702970297
1512,10.8,0.52,71.5,0,0.693069307
1481,6.3,0.03,70.4,0,0.930693069
33,6.8,0,22.2,7.1,0.507936508
345,4.9,0.08,34.3,0,0.478632479
1226,11.1,0.69,75.2,0,0.740952381
436,10.7,0.34,47.1,0,0.606837607
745,11.2,0,51.4,0,0.00140936
146,7.3,0.21,65.9,0,0.701940035
1729,10.4,0.32,48.6,0,0.751037344
163,6,0.02,66.1,0,0.712522046
580,9.6,1.7,66.8,0,0.622222222
322,11,0,39,0,0.567901235
335,4.1,0,31.2,0,0.67372134
1592,7.3,0,41.6,0,0.63960396
700,9.2,0,37.1,0,0.001153471
902,8.1,0,77.6,0,0.001488095
1748,13.1,0.02,72.1,0,0.825726141
1294,7.6,0.01,40,0,0.632380952
99,10.9,0.51,53.3,0,0.634920635
295,11.3,0,45.1,0,0.58377425
907,7.8,0.02,70.3,0,0.001314878
1500,7.3,0,80.1,0,0.752475248
623,10.9,0.74,54.7,0,0.709401709
1425,9.1,0,51.9,0,0.63960396
1319,10,0,44.8,0,0.605714286
165,9.2,0,81.3,0,0.708994709
729,4.7,0.79,46.3,0,0.001318815
857,7.7,0.74,81.1,0,0.001488095
1914,7.6,0,24.6,0,0.649377593
1006,13.4,0,35,0,0.001244016
