"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","sndp","total_num_of_crimes"
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,80.4,0,0.682539682539683
"168",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,69.2,0,0.705467372134039
"169",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,64.7,0,0.746031746031746
"170",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,70.1,0,0.680776014109347
"171",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,72,0,0.705467372134039
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,75.3,0,0.721340388007055
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,81.5,0,0.776014109347443
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,78.9,0,0.708994708994709
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,73.4,0,0.774250440917108
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,71.3,0,0.698412698412698
"177",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,73.5,0,0.761904761904762
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,76.6,0,0.710758377425044
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,77.7,0,0.684303350970018
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,74.4,0,0.684303350970018
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,64.8,0,0.712522045855379
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,64.4,0,0.761904761904762
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,68.1,0,0.657848324514991
"184",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,72.1,0,0.71957671957672
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,73.1,0,0.677248677248677
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,74.8,0,0.668430335097002
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,77.9,0,0.668430335097002
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,81.1,0,0.716049382716049
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,73.4,0,0.71957671957672
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,67.7,0,0.742504409171076
"191",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,68.3,0,0.765432098765432
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,75.5,0,0.680776014109347
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,79.2,0,0.735449735449735
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,68,0,0.7336860670194
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,69.3,0,0.687830687830688
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,70.1,0,0.627865961199294
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,73,0,0.696649029982363
"198",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,73.6,0,0.777777777777778
"199",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,76.8,0,0.731922398589065
"200",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,77.5,0,0.693121693121693
"201",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,73.2,0,0.6331569664903
"202",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,72.9,0,0.670194003527337
"203",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,74.4,0,0.767195767195767
"204",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,75.6,0,0.62962962962963
"205",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,75.3,0,0.687830687830688
"206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,75.4,0,0.71957671957672
"207",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,75.1,0,0.701940035273369
"208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,67.8,0,0.596119929453263
"209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,69.9,0,0.7336860670194
"210",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,68.9,0,0.654320987654321
"211",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,66.9,0,0.703703703703704
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,72.6,0,0.64373897707231
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,71.7,0,0.6331569664903
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,72.5,0,0.647266313932981
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,78.3,0,0.64021164021164
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,78.2,0,0.717813051146384
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,76.5,0,0.650793650793651
"218",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,79.1,0,0.701940035273369
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,78.9,0,0.707231040564374
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,78.3,0,0.634920634920635
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,81.3,0,0.677248677248677
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,77.1,0,0.705467372134039
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,75.1,0,0.659611992945326
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,72.4,0,0.670194003527337
"225",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,77.7,0,0.731922398589065
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,79.5,0,0.707231040564374
"227",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,78.1,0,0.641975308641975
"228",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2014,78.8,0,0.814814814814815
"229",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2014,77,0,0.677248677248677
"230",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2014,75.8,0,0.627865961199294
"231",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,77.6,0,0.613756613756614
"232",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2014,81.1,0,0.687830687830688
"233",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2014,68.7,0,0.647266313932981
"234",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2014,69.3,0,0.670194003527337
