,day,wdsp,prcp,total_num_of_crimes
1426,5,5,0.06,0.706349206
1432,6,7.8,0.65,0.797619048
1041,2,9,0.04,0.601709402
623,5,7.4,0.15,0.702857143
1599,4,6,0,0.591452991
1496,7,3.9,0,0.670194004
1838,1,12.4,0,0.668430335
1054,6,7.2,0,0.726190476
1950,3,10.2,0,0.697029703
1296,6,7.9,0,0.906930693
502,5,8.5,1,0.670634921
1239,7,4.7,0,0.682051282
1899,5,16.4,0.01,0.502564103
664,4,6.4,0.35,0.642857143
2138,2,10.8,0.4,0.546737213
199,1,3.5,0,0.557319224
711,3,5.2,0,0.615384615
969,4,6.2,0.01,0.694017094
1111,4,6.2,0.01,0.728215768
1726,6,10,0,0.706349206
2049,2,9.4,0,0.576068376
597,5,19.2,0.82,0.613675214
1683,4,7.7,0,0.502564103
798,7,7.1,0.43,0.625742574
1320,3,4.2,0.63,0.706930693
1563,5,8.8,0.26,0.67008547
2012,2,8.7,0,0.564373898
2048,1,8.2,0,0.599647266
1098,1,6.4,0.01,0.835643564
158,2,6.1,0.04,0.586324786
1161,1,9.1,0.06,0.687179487
185,3,14.5,0,0.659405941
1379,5,10.3,0.07,0.76952381
266,6,15.9,0,0.47008547
1092,7,11.2,0,0.885148515
208,6,10.7,0,0.552380952
1489,4,4.4,0,0.649377593
451,6,10.3,0,0.659751037
1615,4,9.3,0,0.668049793
1040,1,4.8,0.08,0.686067019
181,5,6.4,0,0.589065256
101,3,8.2,0,0.607920792
538,4,15.2,0.39,0.682539683
1318,1,9.6,0,0.744047619
594,1,6.8,0.03,0.641584158
1486,1,8.1,0,0.75
1781,2,11,0.51,0.651428571
537,2,9.4,0,0.579487179
1061,1,10.5,0,0.68952381
564,3,14.6,0.07,0.63960396
1177,1,10,0,0.771784232
178,1,9.7,0,0.655238095
1249,6,11.8,0,0.765560166
1746,4,5.8,0,0.64950495
1443,6,5.6,0.22,0.611965812
736,2,5.4,0,0.700396825
561,6,10.7,0,0.582905983
1431,4,3.8,0,0.630769231
139,5,14,0,0.525573192
2057,6,12.4,0.01,0.605714286
1312,7,5.1,0,0.773809524
915,2,4.6,0,0.608547009
590,3,5.7,0,0.666666667
1638,7,6.8,0.03,0.63960396
1554,7,6.8,0,0.691089109
1123,6,8,0,0.821576763
1516,6,7.8,0.02,0.662698413
1175,6,5.2,0,0.782857143
270,4,9,0,0.753112033
1760,2,10.2,0,0.659611993
999,2,8.5,1.75,0.700854701
2013,3,7.5,0.03,0.577777778
496,4,9.4,0.17,0.656746032
700,3,14.1,0,0.648809524
762,1,5.9,0,0.772277228
1025,2,8.8,0.23,0.712380952
865,5,7.1,0.06,0.838174274
735,7,8.5,0,0.593162393
1168,4,12,0.35,0.773809524
1598,3,5.3,0,0.717813051
764,4,10.3,0,0.641975309
1962,5,10.1,0,0.673267327
1152,3,6.7,0,0.732673267
780,4,9.5,0.21,0.712871287
1297,7,5.1,0,0.813278008
344,5,6.7,0,0.492307692
1262,3,5.5,0,0.627865961
1369,5,7.4,0,0.711618257
1965,2,4,0,0.524786325
1112,6,7.5,0,0.705467372
58,2,17.9,0,0.685714286
1414,3,10.6,0,0.797619048
1303,1,5.7,0,0.769709544
1124,1,10.7,0.48,0.776014109
1973,6,10.4,0,0.660952381
929,7,7.3,0,0.699047619
1578,4,6.6,0,0.778217822
1653,6,17.7,0.02,0.598290598
184,2,13.6,0.01,0.624761905
872,1,6.3,0,0.619047619
1252,4,4.4,0,0.742063492
