,day,sndp,temp,total_num_of_crimes
1224,1,0,73.6,0.81980198
1815,5,0,46.9,0.622222222
1675,7,0,60.3,0.647302905
1362,3,0,80.2,0.827722772
1990,1,0,46.3,0.674603175
133,4,3.1,4.4,0.541446208
653,3,0,64.5,0.71047619
981,6,0,69.7,0.646153846
1794,5,0,48.9,0.75049505
1327,5,0,73.8,0.757261411
692,6,0,51.9,0.62962963
575,4,0,42.9,0.605714286
1661,3,0,70.7,0.624761905
1502,1,0,70.6,0.555555556
1634,2,0,56.9,0.661375661
939,6,0,62.4,0.564102564
1115,3,0,78.3,0.824761905
762,1,0,60.3,0.772277228
1070,6,0,81.3,0.708994709
395,2,0,54.5,0.594285714
1935,4,0,46,0.535042735
127,3,5.1,6.9,0.522045855
1363,4,0,71.5,0.742738589
1994,6,0,40.9,0.574955908
1029,7,0,76.8,0.632478632
878,2,0,76,0.631393298
792,6,0,49.1,0.588118812
1440,2,0,83.1,0.76039604
366,5,0,37.4,0.702970297
307,5,1.2,35,0.567901235
1195,4,0,79.2,0.860995851
1923,2,0,53.1,0.54017094
531,1,0,49.1,0.611965812
1498,3,0,85.1,0.654761905
269,3,5.9,34,0.588118812
1910,6,0,27.3,0.624338624
2107,2,0,26.6,0.653526971
654,4,0,41.1,0.653465347
435,6,0,52.5,0.582905983
569,3,0,44.9,0.603809524
2067,5,0,49.1,0.564102564
1720,5,0,53.9,0.801587302
1646,4,0,69.8,0.687830688
787,6,0,48.1,0.661825726
1645,2,0,79.7,0.875518672
1785,7,0,52.8,0.555555556
386,4,3.1,23.1,0.53968254
1787,3,0,44.8,0.64
826,3,0,54.2,0.75
1696,1,0,59.8,0.692460317
313,6,1.2,29.9,0.507936508
411,2,0,43.9,0.644444444
1187,1,0,69.2,0.796190476
1474,6,0,70.2,0.706349206
719,7,0,45.2,0.6
184,2,0,38.2,0.624761905
1001,5,0,77.8,0.712380952
1852,6,0,56.1,0.670634921
97,5,0,18.3,0.636684303
1503,2,0,80,0.567521368
1713,2,0,57.5,0.598290598
1183,2,0,77.6,0.744813278
729,6,0,64.9,0.521367521
1700,6,0,51,0.636684303
1832,7,0,40,0.615520282
1313,1,0,70.5,0.723809524
2087,4,0,25.2,0.622857143
687,6,0,45.9,0.567521368
1262,3,0,70.1,0.627865961
329,6,0,37.7,0.594059406
1012,6,0,76.3,0.636904762
401,3,0,46.3,0.584761905
1022,5,0,75.7,0.728395062
613,5,0,50.6,0.699170124
1969,7,0,39.4,0.701244813
2157,6,0,41.6,0.514529915
1746,4,0,45.5,0.64950495
1408,2,0,73.6,0.712301587
1069,4,0,77.9,0.784232365
492,5,0,36.7,0.702970297
486,4,0,35.3,0.641584158
1477,2,0,73.1,0.636929461
1152,3,0,78.3,0.732673267
1886,2,0,50.5,0.532627866
1928,2,0,15.6,0.552028219
1373,4,0,78.3,0.687619048
1544,1,0,58.4,0.636684303
1318,1,0,78.6,0.744047619
544,5,0,45.1,0.797619048
1573,4,0,74.3,0.819502075
1276,1,0,76.5,0.827380952
520,1,0,46.2,0.783730159
1774,7,0,58,0.700396825
819,7,0,74.9,0.711111111
1658,6,0,44.5,0.589065256
723,5,0,52.2,0.765811966
274,3,0,34.4,0.596190476
365,4,0,32.4,0.540952381
501,3,0,40.7,0.553846154
911,4,0,67.1,0.817142857
1118,7,0,75.3,0.721340388
145,6,3.1,23.5,0.53968254
1609,3,0,70.8,0.670124481
1085,5,0,73.7,0.685714286
685,3,0,53.9,0.690871369
2172,5,0,43.2,0.685148515
1296,6,0,83.2,0.906930693
676,6,0,49.4,0.630952381
761,7,0,48,0.577142857
1242,4,0,77.5,0.724752475
2117,2,0,44.2,0.704761905
754,5,0,61.6,0.698412698
508,6,0,42.7,0.640873016
468,1,0,41.5,0.625742574
534,5,0,39.6,0.647524752
970,6,0,85.2,0.777777778
1985,1,0,46.3,0.662857143
1217,6,0,78,0.681904762
1827,7,0,54.7,0.709401709
190,3,0,35.9,0.773333333
1396,7,0,68.5,0.746031746
1111,4,0,78.8,0.728215768
708,6,0,43.9,0.669306931
1184,4,0,68.1,0.657848325
361,5,0,28.6,0.705394191
160,5,0,29,0.653333333
831,2,0,51.4,0.61025641
811,3,0,63.6,0.778008299
1911,7,0,54.1,0.555555556
1633,7,0,64.1,0.676348548
1292,1,0,77.5,0.693121693
2184,7,0,27,0.637623762
861,7,0,68.8,0.555555556
682,7,0,59.6,0.662698413
1444,1,0,78.4,0.831349206
1110,3,0,83.9,0.740594059
1767,4,0,61.2,0.618803419
454,4,0,50,0.64484127
691,4,0,57.7,0.721991701
446,7,0,24.9,0.51675485
1393,2,0,75.9,0.686721992
1308,1,0,79.3,0.762376238
959,5,0,75.6,0.742857143
1957,5,0,37.2,0.665975104
1712,1,0,62.9,0.590828924
1334,1,0,75.1,0.701940035
593,7,0,64.8,0.697142857
268,2,0,41.4,0.651428571
1667,4,0,65.9,0.592380952
1654,1,0,63.7,0.716269841
318,5,0,30.4,0.697095436
465,4,0,44.4,0.58974359
496,4,0,38.7,0.656746032
2095,7,0,24.8,0.678423237
1739,2,0,57.4,0.632380952
1084,4,0,72.3,0.746031746
805,2,0,55.7,0.773858921
62,7,3.1,27.7,0.511111111
1890,7,0,33,0.588118812
1370,7,0,71.7,0.633156966
640,7,0,64.7,0.64484127
1216,5,0,81.1,0.75
123,4,1.2,21.3,0.617063492
870,5,0,78.5,0.772277228
1525,3,0,81.6,0.746887967
1060,7,0,82.8,0.678571429
158,2,1.2,29.3,0.586324786
961,7,0,69.7,0.763485477
1940,4,0,24.6,0.552028219
869,4,0,58.3,0.725714286
1918,3,0,49.6,0.720238095
2032,1,2,33.4,0.678571429
1782,3,0,44.3,0.734653465
198,6,3.9,26.6,0.643153527
149,4,0,32.9,0.657425743
722,4,0,46.3,0.756613757
2047,6,0,32,0.630705394
