day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,thunder,total_num_of_crimes
3,2018,9,12,12/09/2018,68.5,55.9,1020.9,10,5.4,9.9,14,82,57,0,0,0,0,0,0,327
4,2019,9,12,12/09/2019,74.2,68.8,1017.3,9.4,6.3,17.1,28,84.9,68,0.37,0,0,1,0,1,398
6,2014,9,13,13/09/2014,49.8,41.5,1026.8,9.1,7.7,15,20,60.1,42.1,0.1,0,0,1,0,0,321
7,2015,9,13,13/09/2015,60.3,44,1016.6,10,6.8,12,15,71.1,50,0.13,0,0,0,0,0,360
2,2016,9,13,13/09/2016,74.4,58.4,1016.4,10,7.8,14,19,87.1,64.9,0,0,0,0,0,0,358
3,2017,9,13,13/09/2017,67.6,60.1,1008.3,9.3,5.2,9.9,999.9,75.9,64,0,0,0,1,0,0,329
4,2018,9,13,13/09/2018,66.9,56.6,1021.3,10,4.3,9.9,999.9,79,57,0,0,0,0,0,0,312
5,2019,9,13,13/09/2019,75.1,66.4,1015.4,9.5,10.7,20,28.9,80.1,70,0.63,0,0,1,0,1,365
7,2014,9,14,14/09/2014,56.1,43.5,1025.7,10,4.6,11.1,19,66.9,42.1,0.01,0,0,0,0,0,346
1,2015,9,14,14/09/2015,67.4,47.9,1016.6,10,9.3,17.1,28,82.9,50,0,0,0,0,0,0,351
3,2016,9,14,14/09/2016,71.6,58.7,1021.6,10,9.3,13,999.9,78.1,66.9,0.01,0,0,1,0,0,353
4,2017,9,14,14/09/2017,67.9,61,1010.3,7.5,3.9,7,999.9,80.1,59,0.07,0,1,0,0,0,332
5,2018,9,14,14/09/2018,70.6,59.9,1019.8,10,4.6,11.1,18.1,84.9,62.1,0,0,0,0,0,0,379
6,2019,9,14,14/09/2019,68.4,56.2,1020.9,10,6.9,12,19,81,57.9,0.01,0,0,0,0,0,365
1,2014,9,15,15/09/2014,58.4,49.1,1020.7,9.9,4,9.9,999.9,66.9,46,0,0,0,1,0,0,361
2,2015,9,15,15/09/2015,73.7,52,1020.7,10,10.2,15,25.1,84,55.9,0,0,0,0,0,0,400
4,2016,9,15,15/09/2016,70.8,57.5,1022.3,10,7.4,13,999.9,78.1,64,0,0,0,0,0,0,361
5,2017,9,15,15/09/2017,74.9,60.5,1014.5,10,7.5,12,17.1,88,64,0,0,0,0,0,0,381
6,2018,9,15,15/09/2018,70.3,61.5,1020.4,10,5.1,12,999.9,82,63,0,0,0,0,0,0,375
