day,sndp,total_num_of_crimes
3,0,0.670194004
3,0,0.733686067
3,0,0.717813051
3,0,0.659611993
3,0,0.627865961
3,0,0.647266314
3,0,0.714285714
3,0,0.717813051
3,0,0.622574956
3,0,0.679012346
3,0,0.590828924
3,0,0.675485009
3,0,0.671957672
3,0,0.532627866
3,0,0.532627866
3,0,0.562610229
3,0,0.627865961
3,0,0.649029982
3,0,0.620811287
3,3.1,0.543589744
3,0,0.6
3,0,0.502564103
3,16.1,0.48034188
3,3.9,0.499145299
3,0,0.584615385
3,0,0.521367521
3,0,0.553846154
3,0,0.753846154
3,0,0.603418803
3,0,0.647863248
3,0,0.51965812
3,0,0.615384615
3,0,0.579487179
3,0,0.591452991
3,0,0.635897436
3,0,0.627350427
3,0,0.666666667
3,0,0.652991453
3,0,0.617094017
3,0,0.594871795
3,0,0.733333333
3,0,0.569230769
3,0,0.632478632
3,0,0.652991453
3,0,0.601709402
3,0,0.618803419
3,0,0.635897436
3,0,0.618803419
3,0,0.596581197
3,0,0.620512821
3,0,0.557264957
3,0,0.629059829
3,0,0.663247863
3,0,0.572649573
