"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","sndp","wdsp","total_num_of_crimes"
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,6.5,0.668430335097002
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,9.9,0.716049382716049
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,14.5,0.71957671957672
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,8.2,0.742504409171076
"191",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,7.6,0.765432098765432
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,7.3,0.680776014109347
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,10.3,0.735449735449735
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,13.3,0.7336860670194
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,6.2,0.687830687830688
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,5.5,0.627865961199294
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,7.1,0.696649029982363
"198",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,4.9,0.777777777777778
"199",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,4.7,0.731922398589065
"200",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,6.8,0.693121693121693
"201",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,5.3,0.6331569664903
"202",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,5.8,0.670194003527337
"203",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,7.2,0.767195767195767
"204",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,9.3,0.62962962962963
"205",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,9.1,0.687830687830688
"206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,7.7,0.71957671957672
"207",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,7,0.701940035273369
"208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,11,0.596119929453263
"209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,6.9,0.7336860670194
"210",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,7.7,0.654320987654321
"211",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,5.2,0.703703703703704
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,7.1,0.64373897707231
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,6.9,0.6331569664903
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,5.4,0.647266313932981
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,10.1,0.64021164021164
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,6.7,0.717813051146384
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,6.3,0.650793650793651
"218",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,6.3,0.701940035273369
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,3.5,0.707231040564374
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,5.8,0.634920634920635
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,6.7,0.677248677248677
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,5,0.705467372134039
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,5.7,0.659611992945326
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,7.3,0.670194003527337
"225",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,8.3,0.731922398589065
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,11.5,0.707231040564374
"227",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,6.4,0.641975308641975
"228",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2014,0,10.9,0.814814814814815
"229",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2014,0,6.8,0.677248677248677
"230",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2014,0,5,0.627865961199294
"231",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2014,0,10.9,0.613756613756614
"232",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2014,0,11.4,0.687830687830688
