,day,temp,total_num_of_crimes
1856,4,48.5,0.592592593
1330,3,83.1,0.658730159
775,4,63.2,0.721991701
1537,5,75.1,0.757261411
1240,2,80.9,0.888888889
1382,2,78.3,0.64021164
2079,7,59.7,0.502564103
1413,1,67.4,0.579487179
1086,6,87.3,0.801980198
920,2,76.5,0.770723104
1308,1,79.3,0.762376238
170,4,36.1,0.582905983
165,4,35.7,0.678571429
419,6,24,0.542857143
1762,5,49.5,0.706349206
750,6,70.7,0.774257426
2057,6,30,0.605714286
1428,7,83.5,0.726732673
679,2,59.1,0.697095436
710,2,56,0.684303351
55,5,31.7,0.50617284
956,1,65.9,0.701940035
1807,1,48.8,0.690871369
1180,6,69.3,0.744047619
1027,4,60.4,0.709543568
1421,5,64.4,0.622857143
991,5,66,0.79253112
1701,7,63.3,0.598290598
1846,5,54.9,0.75
570,4,32.3,0.651485149
2042,7,34.9,0.537918871
1657,4,63.1,0.711618257
141,7,29.1,0.623015873
75,3,9,0.621031746
612,4,59.5,0.702970297
1752,5,49.1,0.712871287
325,1,19.1,0.534391534
963,3,81.7,0.652991453
497,5,59.9,0.712380952
363,1,23.8,0.535042735
1031,3,68.5,0.72952381
1558,6,74.8,0.755952381
217,4,7.3,0.553791887
1868,6,45.1,0.58377425
907,5,71.4,0.778008299
580,4,41.3,0.748015873
841,1,54.1,0.804979253
1403,2,75.2,0.740952381
1503,2,80,0.567521368
766,7,57.2,0.68452381
1711,6,44.2,0.711618257
642,2,35,0.671287129
1241,3,76.6,0.657142857
1648,7,61.9,0.589285714
968,3,64.2,0.604938272
737,3,48.1,0.664761905
888,1,84.1,0.823762376
1567,3,72.6,0.668049793
798,7,54.4,0.625742574
816,3,62.6,0.702970297
1894,6,45.3,0.708333333
109,7,21.2,0.546737213
542,2,47.1,0.78659612
1779,6,63.8,0.577777778
1572,3,71.1,0.726732673
537,2,50.1,0.579487179
1890,7,33,0.588118812
1680,7,59.2,0.62970297
950,7,65.3,0.610229277
411,2,43.9,0.644444444
166,6,27.7,0.68952381
283,1,23.9,0.504409171
307,5,35,0.567901235
1440,2,83.1,0.76039604
1884,6,25.3,0.6
421,1,33.3,0.678423237
1097,7,75.4,0.683809524
2188,6,37.4,0.609126984
1766,3,50.4,0.590828924
1812,1,46.9,0.691089109
1720,5,53.9,0.801587302
1476,1,78.6,0.748514851
1349,7,69.3,0.655238095
1935,4,46,0.535042735
1150,1,81.3,0.628968254
1034,7,71.6,0.747795414
1328,7,75.4,0.71957672
1477,2,73.1,0.636929461
1750,3,62.3,0.696428571
2139,3,50.6,0.603418803
2035,4,36.8,0.670124481
1122,5,74.8,0.752475248
730,1,49.8,0.706349206
1841,5,45.9,0.674285714
2129,4,36.1,0.636190476
1120,3,79.1,0.702380952
637,2,57.8,0.647302905
1263,4,80,0.656410256
833,5,48.3,0.678095238
1426,5,74.2,0.706349206
641,1,59.7,0.643809524
727,3,52.9,0.807053942
559,3,47,0.634854772
376,5,31.9,0.632936508
1611,6,69.2,0.618803419
827,4,75.5,0.67047619
1149,6,73.7,0.618803419
291,4,32.5,0.607142857
1454,7,78.1,0.641975309
1200,4,76.7,0.724752475
1867,4,30.2,0.639004149
395,2,54.5,0.594285714
1340,2,67.8,0.596119929
791,5,59,0.79047619
675,4,44.5,0.629059829
1407,7,74.1,0.603418803
875,5,60.8,0.672380952
468,1,41.5,0.625742574
983,2,80.3,0.742857143
1930,5,62.8,0.718253968
2133,2,41.6,0.52991453
1324,2,79.9,0.668650794
1638,7,59.3,0.63960396
937,3,75.5,0.755186722
593,7,64.8,0.697142857
522,3,45.7,0.584158416
1336,4,84.6,0.791666667
1175,6,71,0.782857143
264,3,20.6,0.639004149
2003,4,47.3,0.662857143
966,7,65.5,0.64950495
1933,1,37.9,0.676348548
2095,7,24.8,0.678423237
448,3,54.7,0.648809524
1404,3,71.1,0.722772277
175,4,24,0.60670194
2088,5,40.6,0.689108911
1216,5,81.1,0.75
860,6,61.2,0.64021164
1464,6,76.9,0.805940594
1574,6,69.8,0.682539683
1347,4,75.6,0.666666667
1818,2,53.5,0.691089109
486,4,35.3,0.641584158
554,4,38.8,0.594356261
792,6,49.1,0.588118812
919,7,60.9,0.738589212
1831,5,33.1,0.798755187
653,3,64.5,0.71047619
1491,7,82.8,0.627350427
1568,5,65.4,0.710758377
308,6,23.4,0.512820513
765,5,73.9,0.652991453
1159,5,74.1,0.769709544
627,3,56,0.647863248
2052,6,24.5,0.611881188
399,7,37.1,0.488888889
2047,6,32,0.630705394
1948,1,32,0.636904762
1423,7,70,0.699170124
914,1,78.1,0.758377425
2111,1,43.7,0.607619048
885,4,72,0.675213675
