"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","wdsp","temp","total_num_of_crimes"
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,8.5,65.3,0.608465608465608
"137",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,7,67.4,0.675485008818342
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,7,72.9,0.638447971781305
"139",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,14.3,78.1,0.758377425044092
"140",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,9.9,76.5,0.770723104056437
"141",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,9,67,0.647266313932981
"142",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,7.2,64.9,0.698412698412698
"143",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,4.7,68.9,0.756613756613757
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,5,73.5,0.754850088183421
"145",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,13.9,65.3,0.610229276895944
"146",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,7.3,65.9,0.701940035273369
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,6.4,63.3,0.564373897707231
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,7.5,64.2,0.604938271604938
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,7.1,69.6,0.694885361552028
"150",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,7.7,66.6,0.793650793650794
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,6.3,68.6,0.691358024691358
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,12.7,75.1,0.728395061728395
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,6.9,80.1,0.758377425044092
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,12.9,84.8,0.779541446208113
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,9.9,79.7,0.664902998236332
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,6.8,68.3,0.724867724867725
"157",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,7.3,75.7,0.728395061728395
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,5.8,71.3,0.698412698412698
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,4.7,71.6,0.747795414462081
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,4.8,73.1,0.686067019400353
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,6,77.6,0.696649029982363
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,4.1,70.8,0.671957671957672
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,6,66.1,0.712522045855379
"164",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,8,74,0.770723104056437
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,9.2,81.3,0.708994708994709
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,11,78.7,0.693121693121693
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,11.6,80.4,0.682539682539683
"168",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,9.3,69.2,0.705467372134039
"169",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,6.9,64.7,0.746031746031746
"170",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,5.9,70.1,0.680776014109347
"171",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,7.5,72,0.705467372134039
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,9.9,75.3,0.721340388007055
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,10.7,81.5,0.776014109347443
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,11.2,78.9,0.708994708994709
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,6.4,73.4,0.774250440917108
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,4.6,71.3,0.698412698412698
"177",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,5.3,73.5,0.761904761904762
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,8.1,76.6,0.710758377425044
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,8.6,77.7,0.684303350970018
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,6.7,74.4,0.684303350970018
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,10,64.8,0.712522045855379
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,6.7,64.4,0.761904761904762
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,3.9,68.1,0.657848324514991
"184",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,6,72.1,0.71957671957672
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,3.8,73.1,0.677248677248677
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,3.3,74.8,0.668430335097002
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,6.5,77.9,0.668430335097002
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,9.9,81.1,0.716049382716049
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,14.5,73.4,0.71957671957672
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,8.2,67.7,0.742504409171076
"191",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,7.6,68.3,0.765432098765432
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,7.3,75.5,0.680776014109347
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,10.3,79.2,0.735449735449735
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,13.3,68,0.7336860670194
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,6.2,69.3,0.687830687830688
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,5.5,70.1,0.627865961199294
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,7.1,73,0.696649029982363
"198",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,4.9,73.6,0.777777777777778
"199",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,4.7,76.8,0.731922398589065
"200",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,6.8,77.5,0.693121693121693
"201",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,5.3,73.2,0.6331569664903
"202",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,5.8,72.9,0.670194003527337
"203",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,7.2,74.4,0.767195767195767
"204",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,9.3,75.6,0.62962962962963
"205",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,9.1,75.3,0.687830687830688
"206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,7.7,75.4,0.71957671957672
