,day,sndp,total_num_of_crimes
845,7,0,0.63047619
883,1,0,0.746887967
2033,2,0,0.674285714
1367,3,0,0.697142857
658,3,0,0.676587302
1467,3,0,0.620512821
1757,5,0,0.706666667
2042,7,0,0.537918871
94,1,0,0.573333333
1580,7,0,0.680776014
584,2,0,0.654320988
2032,1,2,0.678571429
133,4,3.1,0.541446208
1375,6,0,0.738589212
1832,7,0,0.615520282
1535,3,0,0.626666667
1151,2,0,0.681904762
448,3,0,0.648809524
1032,4,0,0.663366337
1174,5,0,0.734126984
208,6,0,0.552380952
1392,1,0,0.691089109
748,4,0,0.615079365
545,6,0,0.723809524
989,3,0,0.72952381
1453,5,0,0.680497925
626,2,1.2,0.597883598
1814,4,0,0.661375661
661,6,0,0.70746888
825,1,0,0.634188034
600,2,0,0.659405941
2139,3,0,0.603418803
1845,3,0,0.673504274
217,4,9.1,0.553791887
1830,4,0,0.853465347
1496,7,0,0.670194004
1743,7,0,0.509401709
920,2,0,0.770723104
108,5,1.2,0.678423237
462,7,0,0.627722772
1801,7,0,0.657676349
1322,6,0,0.687830688
2091,2,0,0.601709402
1278,3,0,0.869306931
1102,7,0,0.75
1379,5,0,0.76952381
1777,3,0,0.68879668
1686,1,0,0.657425743
382,6,1.2,0.579365079
1870,2,0,0.652777778
1325,3,0,0.725714286
389,1,0,0.628571429
476,5,0,0.679012346
1998,4,2,0.621782178
1924,4,0,0.736111111
1799,5,0,0.752380952
1191,6,0,0.613675214
1506,6,0,0.621782178
1119,1,0,0.594871795
558,2,0,0.584158416
1935,4,0,0.535042735
990,4,0,0.661386139
1178,3,0,0.761904762
181,5,2,0.589065256
1450,2,0,0.698412698
704,1,0,0.636684303
1335,2,0,0.629059829
1812,1,0,0.691089109
1214,2,0,0.716049383
1124,1,0,0.776014109
1168,4,0,0.773809524
1614,3,0,0.693069307
850,7,0,0.668650794
1775,1,0,0.666666667
1831,5,2,0.798755187
1843,7,0,0.742738589
1130,2,0,0.708994709
2100,7,0,0.627722772
1070,6,0,0.708994709
1446,3,0,0.669306931
218,5,14.2,0.535042735
1627,6,0,0.649377593
1228,7,0,0.742063492
201,3,0,0.654761905
555,5,0,0.593162393
949,5,0,0.831950207
2083,5,0,0.757261411
1725,4,0,0.67008547
1125,2,0,0.594871795
1773,5,0,0.625641026
127,3,5.1,0.522045855
82,6,0,0.548571429
1196,6,0,0.677248677
1531,4,0,0.825726141
1143,5,0,0.579487179
2038,2,1.2,0.634920635
1828,2,0,0.863095238
106,3,0,0.636190476
1533,7,0,0.615384615
1941,5,0,0.576068376
1166,1,0,0.684303351
418,5,0,0.648809524
219,6,0,0.557539683
594,1,1.2,0.641584158
1017,5,0,0.625641026
489,1,3.1,0.487179487
1835,4,0,0.638095238
177,6,0,0.619047619
439,4,0,0.676348548
303,6,0,0.567460317
874,4,0,0.732142857
1323,7,0,0.553846154
1669,6,0,0.709543568
898,1,0,0.751984127
1797,2,0,0.552136752
2030,5,0,0.686067019
533,4,0,0.615238095
1838,1,0,0.668430335
581,5,0,0.619047619
2087,4,0,0.622857143
358,2,0,0.744047619
1526,5,0,0.647266314
347,2,0,0.645544554
1584,5,0,0.77029703
199,1,3.9,0.557319224
104,7,0,0.548717949
1410,4,0,0.627722772
170,4,0,0.582905983
1061,1,0,0.68952381
440,6,0,0.62962963
51,6,0,0.619047619
432,2,1.2,0.60990099
1148,5,0,0.761904762
1932,7,0,0.596039604
1633,7,0,0.676348548
1112,6,0,0.705467372
1581,1,0,0.582905983
2122,2,3.1,0.603174603
1624,3,0,0.597222222
62,7,3.1,0.511111111
30,6,0,0.7406639
1285,5,0,0.98340249
1037,4,0,0.727619048
2093,5,0,0.643809524
799,1,0,0.782157676
1679,6,0,0.603809524
1310,4,0,0.767195767
189,1,0,0.777777778
934,7,0,0.712301587
1268,4,0,0.69664903
1553,6,0,0.697142857
1660,2,0,0.652777778
599,1,0,0.601904762
897,6,0,0.565811966
149,4,0,0.657425743
715,1,0,0.701244813
1101,5,0,0.656410256
840,7,0,0.697029703
1866,3,0,0.631683168
2109,5,0,0.51965812
711,3,0,0.615384615
506,3,0,0.608465608
916,4,0,0.775793651
589,1,0,0.744813278
1464,6,0,0.805940594
275,4,2,0.625742574
1726,6,0,0.706349206
1100,4,0,0.746031746
1313,1,0,0.723809524
262,1,0,0.638095238
241,1,7.9,0.490299824
1788,4,0,0.633663366
881,6,0,0.723809524
226,2,0,0.617142857
74,2,3.1,0.548717949
1768,6,0,0.64484127
368,1,2,0.509700176
1284,4,0,0.861386139
1241,3,0,0.657142857
305,2,0,0.598019802
1305,4,0,0.683760684
1435,2,0,0.701244813
1883,5,0,0.624761905
1219,1,0,0.744813278
753,3,0,0.579487179
1001,5,0,0.712380952
444,4,0,0.653465347
1324,2,0,0.668650794
1347,4,0,0.666666667
1210,4,0,0.724206349
1811,7,0,0.632380952
903,7,0,0.524786325
896,5,0,0.675485009
1233,6,0,0.64957265
1286,7,0,0.731922399
632,3,0,0.67372134
1376,1,0,0.647266314
1572,3,0,0.726732673
1177,1,0,0.771784232
1678,5,0,0.771825397
1558,6,0,0.755952381
1470,7,0,0.742574257
699,1,0,0.6
187,6,3.9,0.677248677
1900,7,0,0.571428571
523,4,0,0.67219917
1373,4,0,0.687619048
1539,1,0,0.6
1546,4,0,0.716269841
304,1,0,0.64
184,2,0,0.624761905
818,6,0,0.700176367
2095,7,0,0.678423237
780,4,0,0.712871287
97,5,0,0.636684303
965,6,0,0.68
868,3,0,0.746031746
1396,7,0,0.746031746
1765,1,0,0.699170124
250,6,0,0.584761905
1218,7,0,0.778217822
941,2,0,0.740952381
1722,7,0,0.588118812
1048,5,0,0.720238095
566,6,0,0.634920635
319,7,0,0.513227513
121,2,5.1,0.502645503
961,7,0,0.763485477
1510,5,0,0.71031746
2099,6,0,0.714285714
1501,6,0,0.730290456
725,1,0,0.761904762
1092,7,0,0.885148515
2036,6,0,0.567901235
312,4,1.2,0.711618257
442,2,0,0.726190476
2022,1,0,0.762376238
1904,5,0,0.624338624
1946,5,0,0.610229277
12,3,0,0.630705394
1522,7,0,0.660714286
141,7,0,0.623015873
1030,2,0,0.746031746
87,5,0,0.700396825
1426,5,0,0.706349206
1252,4,0,0.742063492
1554,7,0,0.691089109
424,6,0,0.632936508
1703,3,0,0.582857143
2079,7,0,0.502564103
1517,7,0,0.643809524
1964,1,0,0.532627866
1243,5,0,0.798755187
1353,5,0,0.623931624
953,4,0,0.672380952
659,4,0,0.681904762
315,1,0,0.563492063
1437,5,0,0.611965812
1538,7,0,0.610229277
172,7,0,0.586666667
539,5,0,0.744761905
1958,7,0,0.599647266
1875,1,0,0.564102564
2003,4,0,0.662857143
1960,3,0,0.615079365
1750,3,0,0.696428571
475,3,0,0.653526971
701,4,0,0.647619048
781,5,0,0.77593361
1216,5,0,0.75
2148,1,0,0.588118812
1003,7,0,0.670124481
668,2,0,0.634920635
355,1,0,0.619047619
1224,1,0,0.81980198
517,3,0,0.668049793
1928,2,0,0.552028219
1465,7,0,0.817427386
206,3,16.1,0.48034188
1854,1,0,0.691089109
2133,2,0,0.52991453
1136,3,0,0.774250441
2018,3,0,0.627865961
1844,2,0,0.636684303
805,2,0,0.773858921
76,5,0,0.681904762
1261,1,0,0.798755187
1607,1,0,0.733333333
1856,4,0,0.592592593
2035,4,0,0.670124481
413,5,0,0.588571429
516,2,0,0.64950495
1354,7,0,0.748015873
1198,2,0,0.833333333
1047,3,0,0.594871795
1369,5,0,0.711618257
61,6,2,0.527336861
1976,3,0,0.562610229
1783,4,0,0.717842324
1707,1,0,0.582905983
1702,2,0,0.676587302
1625,4,0,0.666666667
1747,5,0,0.67219917
995,4,0,0.752380952
166,6,0,0.68952381
1600,6,0,0.775793651
2178,6,0,0.61980198
159,3,0,0.666666667
1798,4,0,0.646825397
392,5,2,0.649029982
2121,7,0,0.552136752
1211,5,0,0.666666667
1164,5,0,0.76039604
1604,4,0,0.634920635
2128,3,3.1,0.668650794
1597,1,0,0.717842324
512,4,0,0.597883598
103,6,1.2,0.552028219
757,1,0,0.821576763
684,2,0,0.643564356
1613,2,0,0.695238095
2117,2,0,0.704761905
1110,3,0,0.740594059
1662,4,0,0.592079208
1036,3,0,0.755952381
786,5,0,0.669306931
591,4,0,0.553846154
814,1,0,0.759920635
1685,7,0,0.617142857
1975,1,0,0.680497925
507,4,0,0.555555556
342,2,0,0.628630705
652,2,0,0.66468254
1634,2,0,0.661375661
478,1,0,0.638888889
480,3,0,0.60990099
2096,2,0,0.529100529
1984,7,0,0.615079365
957,2,0,0.637606838
481,4,0,0.626556017
669,3,0,0.51965812
508,6,0,0.640873016
1137,4,0,0.54017094
129,5,1.2,0.64484127
2028,2,0,0.687128713
1488,3,0,0.643564356
795,3,0,0.591452991
1872,4,0,0.598019802
858,3,0,0.720792079
1653,6,0,0.598290598
351,7,0,0.571428571
1741,4,0,0.67219917
363,1,5.1,0.535042735
938,5,0,0.756613757
2024,4,0,0.592592593
1690,7,0,0.601190476
542,2,0,0.78659612
1290,5,0,0.851485149
2082,4,0,0.625742574
705,2,0,0.564102564
1414,3,0,0.797619048
1899,5,0,0.502564103
493,6,0,0.692946058
500,2,0,0.596119929
1864,1,0,0.680555556
867,1,0,0.582905983
314,7,3.1,0.471794872
1074,4,0,0.807920792
1134,7,0,0.76039604
849,5,0,0.673504274
1363,4,0,0.742738589
887,7,0,0.643809524
146,7,1.2,0.535042735
1888,5,0,0.676587302
1977,4,0,0.499145299
769,3,0,0.755186722
1631,5,0,0.687619048
2055,3,0,0.517948718
910,3,0,0.882936508
532,3,0,0.71031746
1851,4,0,0.634188034
1925,5,0,0.681904762
2129,4,0,0.636190476
2019,4,0,0.574358974
1651,3,0,0.709543568
285,3,1.2,0.581349206
1449,7,0,0.634188034
546,7,0,0.673267327
1537,5,0,0.757261411
