,day,wdsp,sndp,total_num_of_crimes
448,3,19.8,0,0.648809524
831,2,10.5,0,0.61025641
1611,6,7.6,0,0.618803419
495,2,9.1,2,0.548717949
18,4,9.8,0,0.753112033
2140,5,6.1,2,0.662698413
974,4,7.1,0,0.694885362
1398,2,7.3,0,0.691089109
869,4,10.4,0,0.725714286
1539,1,9.3,0,0.6
923,6,6.2,0,0.727619048
916,4,6.5,0,0.775793651
1629,2,9.3,0,0.576068376
1597,1,9.5,0,0.717842324
1991,2,13.9,0,0.691428571
983,2,6.7,0,0.742857143
1057,2,11.4,0,0.807053942
929,7,7.3,0,0.699047619
1420,4,6.6,0,0.765873016
1341,3,4.4,0,0.635897436
1694,5,4.4,0,0.624338624
765,5,7.8,0,0.652991453
463,1,6.1,0,0.67219917
1544,1,4,0,0.636684303
356,6,7.4,0,0.582010582
1298,2,5.3,0,0.633156966
800,3,8.9,0,0.677248677
349,5,7.6,0,0.553791887
1276,1,6.1,0,0.827380952
743,4,11.9,0,0.638095238
404,7,7.9,0,0.507936508
1730,4,7.6,0,0.608465608
811,3,3.1,0,0.778008299
1869,7,3.6,0,0.54017094
1939,2,4.2,0,0.738589212
1432,6,7.8,0,0.797619048
754,5,5.4,0,0.698412698
1760,2,10.2,0,0.659611993
1427,6,5.7,0,0.647619048
845,7,9.8,0,0.63047619
1124,1,10.7,0,0.776014109
1037,4,10.1,0,0.727619048
439,4,15,0,0.676348548
315,1,4.2,0,0.563492063
1789,5,3.8,0,0.695020747
1327,5,5.2,0,0.757261411
149,4,7.6,0,0.657425743
1164,5,7.9,0,0.76039604
804,1,8.3,0,0.798019802
1065,6,9.2,0,0.593162393
1219,1,12.2,0,0.744813278
1197,7,7,0,0.608547009
417,3,6.5,0,0.584615385
253,3,4.7,7.1,0.485008818
1435,2,9.7,0,0.701244813
1701,7,9.8,0,0.598290598
729,6,5.8,0,0.521367521
542,2,17.1,0,0.78659612
1771,2,16.1,0,0.636929461
191,4,11.5,0,0.736633663
1616,6,4.5,0,0.742504409
521,2,9.6,0,0.607619048
1254,6,4.8,0,0.744554455
1596,7,5,0,0.683168317
1707,1,12.6,0,0.582905983
807,5,9.8,0,0.707692308
1366,2,7.2,0,0.716269841
1655,2,10.7,0,0.619047619
1199,3,6.8,0,0.704761905
1472,3,5,0,0.627865961
1889,6,7.9,0,0.607619048
1431,4,3.8,0,0.630769231
1486,1,8.1,0,0.75
567,7,10.3,0,0.538461538
1565,1,7.5,0,0.699047619
1121,4,5.1,0,0.653333333
1921,6,5,1.2,0.636929461
1080,5,8.4,0,0.700990099
2164,2,13.2,0,0.593253968
714,7,5.8,0,0.637623762
479,2,9.5,0,0.619047619
1245,1,6.8,0,0.668376068
1325,3,3.5,0,0.725714286
1847,6,8.3,0,0.678095238
1346,3,6.9,0,0.733686067
1043,5,10.4,0,0.634285714
829,6,7.8,0,0.77593361
355,1,14.6,0,0.619047619
2076,3,10.3,0,0.724752475
575,4,18.7,0,0.605714286
1074,4,3.2,0,0.807920792
980,5,7.7,0,0.793650794
1594,5,6.5,0,0.712301587
953,4,4.3,0,0.672380952
1623,1,5.2,0,0.611965812
1007,6,9.1,0,0.674285714
1081,6,5.7,0,0.834024896
1104,2,6.1,0,0.788118812
1575,7,3.2,0,0.608547009
177,6,8.9,0,0.619047619
888,1,6.5,0,0.823762376
1527,6,10.5,0,0.541880342
641,1,5,0,0.643809524
894,2,4.6,0,0.827722772
971,7,13.8,0,0.68952381
1288,3,4.2,0,0.763888889
928,6,7.2,0,0.71031746
678,1,9.1,0,0.63960396
937,3,8.7,0,0.755186722
1777,3,9,0,0.68879668
146,7,10.3,1.2,0.535042735
1769,7,12.5,0,0.628571429
1446,3,7.6,0,0.669306931
549,4,11,0,0.615384615
1955,3,8,0,0.561904762
930,1,9.6,0,0.730693069
1824,3,7.5,0,0.869306931
1387,1,3.6,0,0.81120332
535,6,11.3,0,0.645228216
1086,6,9.9,0,0.801980198
1283,3,5.4,0,0.695238095
2040,4,9.3,0,0.631683168
1310,4,7.2,0,0.767195767
1255,7,10.1,0,0.769709544
1259,6,11.4,0,0.678095238
1870,2,7.4,0,0.652777778
939,6,9.6,0,0.564102564
895,3,7.1,0,0.755186722
2079,7,8,0,0.502564103
1168,4,12,0,0.773809524
389,1,15.3,0,0.628571429
1534,2,7.8,0,0.71031746
1071,7,5,0,0.545299145
42,1,15.5,0,0.639004149
129,5,7.6,1.2,0.64484127
190,3,10.1,0,0.773333333
2157,6,9.6,0,0.514529915
503,6,10.6,0,0.613333333
433,3,10.7,0,0.659751037
1613,2,7.5,0,0.695238095
1227,5,6,0,0.699145299
1208,1,6.5,0,0.668430335
1014,1,11.4,0,0.857425743
1300,5,6.7,0,0.78968254
1338,6,6.1,0,0.796039604
1287,1,9.5,0,0.629059829
1658,6,13.5,0,0.589065256
471,5,7.8,0,0.629059829
1754,1,8.5,0,0.659611993
1687,2,3,0,0.726141079
1976,3,5.2,0,0.562610229
381,4,8.9,3.9,0.500854701
110,1,4.5,0,0.570940171
307,5,22.8,1.2,0.567901235
1510,5,4.3,0,0.71031746
2035,4,5.3,0,0.670124481
2016,7,7.2,0,0.623762376
1460,1,10.9,0,0.814814815
640,7,6.1,0,0.64484127
859,4,13.1,0,0.825726141
1762,5,11.5,0,0.706349206
1234,1,8.3,0,0.78968254
1736,5,9.9,0,0.710758377
312,4,12.3,1.2,0.711618257
1872,4,5.7,0,0.598019802
1862,5,8.4,0,0.668430335
325,1,11.1,0,0.534391534
2049,2,9.4,0,0.576068376
282,6,7.6,0,0.647302905
1507,7,8.2,0,0.744813278
1810,6,10.7,0,0.819444444
1073,3,10.6,0,0.695238095
1471,1,3.8,0,0.782157676
1932,7,6.4,0,0.596039604
775,4,10.6,0,0.721991701
1814,4,4.9,0,0.661375661
219,6,7.3,0,0.557539683
1934,3,12.2,0,0.532627866
1160,7,8.6,0,0.684303351
1731,5,8.8,0,0.523076923
1297,7,5.1,0,0.813278008
1949,2,13.3,0,0.651428571
1213,7,9.1,0,0.757261411
924,7,10.8,0,0.78019802
1375,6,5.3,0,0.738589212
2086,3,10.7,3.1,0.557539683
545,6,5.6,0,0.723809524
1405,4,8,0,0.699170124
2046,5,7.3,0,0.62970297
1053,4,6.7,0,0.652991453
206,3,6.4,16.1,0.48034188
108,5,7.9,1.2,0.678423237
981,6,5.8,0,0.646153846
1970,2,13.8,0,0.541446208
1063,3,6.3,0,0.809128631
244,5,12.1,0,0.664761905
1923,2,12,0,0.54017094
965,6,12.3,0,0.68
1608,2,7.7,0,0.627722772
905,3,8.3,0,0.628571429
1035,1,8.7,0,0.646153846
1566,2,5.3,0,0.706930693
1672,4,3.5,0,0.682539683
1433,7,7.4,0,0.598095238
363,1,6.6,5.1,0.535042735
360,4,11.7,0,0.702970297
610,2,7.6,0,0.652777778
2175,2,12.9,0,0.514529915
2100,7,5.8,0,0.627722772
1076,7,11,0,0.693121693
1882,4,10.8,0,0.619047619
328,5,9.1,0,0.596190476
1154,6,8.1,0,0.710758377
1761,3,10.1,0,0.658119658
456,6,9.7,0,0.691089109
1573,4,5.8,0,0.819502075
1395,5,7.4,0,0.71965812
482,6,11.7,0,0.617283951
1557,4,9.3,0,0.593162393
1665,1,7.4,0,0.622222222
1933,1,5.4,0,0.676348548
603,6,7.2,0,0.601709402
989,3,7.4,0,0.72952381
1424,2,5,0,0.705467372
79,2,10.9,0,0.578483245
369,2,10.6,3.9,0.535042735
2094,6,7.5,0,0.679207921
788,1,11.2,0,0.701940035
1505,5,5.3,0,0.613333333
1657,4,8.2,0,0.711618257
966,7,5.5,0,0.64950495
1546,4,7.4,0,0.716269841
1304,3,5.8,0,0.670194004
717,4,12.1,0,0.548717949
1138,6,9.9,0,0.674603175
256,7,14.3,0,0.571428571
2072,5,7.5,0,0.627865961
1532,6,7.7,0,0.566137566
358,2,16.2,0,0.744047619
187,6,5.2,3.9,0.677248677
540,6,11.5,0,0.63960396
1856,4,15.3,0,0.592592593
1069,4,6.8,0,0.784232365
1833,1,8.9,0,0.687179487
73,1,12.2,1.2,0.659611993
1207,6,12.9,0,0.765560166
1543,6,6.9,0,0.757261411
1495,5,8.8,0,0.728215768
1020,2,6.6,0,0.716831683
771,6,7.2,0,0.541880342
612,4,10.6,0,0.702970297
196,4,11,0,0.571428571
677,7,4,0,0.647619048
649,4,10.9,0,0.661825726
1453,5,7,0,0.680497925
1622,7,3.5,0,0.694885362
1606,7,7.4,0,0.761904762
394,1,11.1,0,0.755952381
1047,3,5,0,0.594871795
573,1,6.3,0,0.560683761
936,2,11.2,0,0.706930693
1957,5,8.2,0,0.665975104
1320,3,4.2,0,0.706930693
1690,7,6.2,0,0.601190476
461,6,12.1,0,0.598095238
877,7,6.2,0,0.767634855
1018,7,6.7,0,0.714285714
547,1,9.6,0,0.782157676
