,day,prcp,total_num_of_crimes
762,1,0,0.772277228
1396,7,1.01,0.746031746
1846,5,0,0.75
857,2,0.01,0.674285714
585,3,0.04,0.603418803
169,3,0,0.603174603
1776,2,0,0.687128713
1508,2,0.01,0.633156966
1778,5,0,0.693121693
711,3,0,0.615384615
1305,4,0,0.683760684
14,6,0.08,0.478632479
1821,6,0,0.547008547
486,4,0,0.641584158
1182,1,0,0.77029703
1780,1,0,0.712301587
198,6,0,0.643153527
921,3,0,0.666666667
665,5,0,0.72
1873,5,0,0.649377593
701,4,0.37,0.647619048
1831,5,0.02,0.798755187
1826,6,0.04,0.723104056
66,5,0,0.730290456
1372,3,0.04,0.833333333
1201,5,1.43,0.786307054
1331,4,0,0.67047619
988,2,0,0.755952381
339,5,0,0.674603175
1754,1,0,0.659611993
42,1,0,0.639004149
444,4,0,0.653465347
101,3,0,0.607920792
1390,6,0,0.763888889
176,5,0,0.582905983
1348,6,2.25,0.755952381
1636,5,0.72,0.694444444
1132,5,0.04,0.726190476
2112,2,0,0.615841584
1352,4,0,0.654320988
805,2,0,0.773858921
381,4,0,0.500854701
88,7,0,0.537142857
1728,1,0.17,0.627722772
1870,2,0.01,0.652777778
1447,4,0,0.838174274
659,4,0.06,0.681904762
366,5,0.32,0.702970297
524,6,0.02,0.643738977
1213,7,0.32,0.757261411
1514,3,1.04,0.647266314
1945,3,0.03,0.730290456
1131,3,0.05,0.569230769
1894,6,0,0.708333333
721,2,1.14,0.755186722
311,3,1.22,0.62970297
1700,6,0,0.636684303
561,6,0,0.582905983
591,4,0.21,0.553846154
165,4,0,0.678571429
1380,6,0.06,0.772277228
1852,6,0,0.670634921
1337,5,0,0.651428571
718,6,0,0.571428571
1110,3,0,0.740594059
1203,1,0,0.697435897
1534,2,0,0.71031746
1789,5,0,0.695020747
1198,2,0.01,0.833333333
1227,5,0,0.699145299
618,5,0.02,0.702970297
98,6,0,0.591452991
438,3,0,0.598019802
2182,5,0,0.686507937
757,1,0,0.821576763
1048,5,0,0.720238095
1690,7,0,0.601190476
1984,7,0,0.615079365
1716,6,0,0.63960396
1952,6,0.04,0.571428571
1929,3,0.44,0.562393162
1544,1,0,0.636684303
2042,7,0,0.537918871
1859,1,0.01,0.63047619
171,5,0,0.634920635
649,4,0.08,0.661825726
1056,1,0,0.78019802
1169,5,0,0.731428571
235,7,0.07,0.522045855
1737,6,0,0.536752137
786,5,0.04,0.669306931
2081,3,0,0.586666667
1138,6,0,0.674603175
1629,2,0,0.576068376
1721,6,0,0.554285714
2143,1,0,0.713692946
1217,6,1.21,0.681904762
2072,5,0,0.627865961
1009,1,0.09,0.755186722
684,2,0,0.643564356
796,5,1.03,0.692460317
2138,2,0.4,0.546737213
487,5,0,0.678423237
915,2,0,0.608547009
218,5,0,0.535042735
1187,1,0,0.796190476
1709,4,0.16,0.634285714
672,7,0,0.605940594
1943,1,0,0.653333333
523,4,0.08,0.67219917
1329,1,0,0.639316239
664,4,0.35,0.642857143
1654,1,0,0.716269841
1224,1,0.26,0.81980198
732,3,0,0.738613861
1229,1,0.03,0.700952381
406,3,0.06,0.654761905
1249,6,0,0.765560166
1262,3,0,0.627865961
1729,2,0,0.736514523
2106,1,0,0.621782178
1849,1,0,0.624481328
1175,6,0,0.782857143
606,3,0,0.76039604
869,4,0.01,0.725714286
244,5,0,0.664761905
2183,6,0.02,0.558095238
1120,3,0,0.702380952
1990,1,0.36,0.674603175
626,2,0.16,0.597883598
1077,1,0.02,0.617094017
1752,5,0,0.712871287
448,3,0.22,0.648809524
842,3,0.65,0.643738977
250,6,0,0.584761905
2049,2,0,0.576068376
1994,6,0,0.574955908
464,3,0.15,0.682539683
1543,6,0.01,0.757261411
92,5,0,0.581196581
2006,1,0,0.710758377
403,5,0,0.670124481
1904,5,0,0.624338624
363,1,0.01,0.535042735
862,2,0,0.761904762
1362,3,0,0.827722772
2004,5,0,0.689108911
1816,7,0.3,0.714285714
1696,1,0,0.692460317
640,7,0,0.64484127
2069,1,0,0.697142857
1921,6,0,0.636929461
1738,1,0,0.742063492
1292,1,0,0.693121693
699,1,0,0.6
154,4,0.02,0.592380952
629,6,0.15,0.704761905
389,1,0,0.628571429
616,3,0,0.658730159
279,2,0,0.569444444
1936,6,0.12,0.589285714
2145,4,0.84,0.548717949
1127,5,0,0.683809524
1413,1,0.09,0.579487179
1489,4,0,0.649377593
2054,2,0.1,0.552028219
2074,1,0.28,0.58531746
1477,2,0,0.636929461
87,5,0,0.700396825
2044,3,0,0.626984127
992,7,0,0.728395062
1688,4,0,0.555555556
474,2,0,0.633663366
1868,6,0,0.58377425
1843,7,0,0.742738589
1874,7,0,0.523809524
1261,1,0,0.798755187
454,4,0.13,0.64484127
867,1,0.43,0.582905983
1072,2,0,0.722222222
436,1,0.79,0.66468254
1154,6,0.18,0.710758377
559,3,0,0.634854772
777,7,0.18,0.567521368
432,2,0,0.60990099
1775,1,1.19,0.666666667
86,4,0,0.664957265
1568,5,0,0.710758377
129,5,0,0.64484127
1113,7,0,0.717948718
1250,1,0.04,0.733686067
416,2,0,0.604938272
1741,4,0,0.67219917
878,2,0.08,0.631393298
1517,7,0,0.643809524
2178,6,0.01,0.61980198
1091,6,0.01,0.80952381
546,7,0.05,0.673267327
634,6,0,0.654761905
554,4,0.42,0.594356261
767,1,0,0.607619048
514,7,0,0.593253968
1119,1,0,0.594871795
1962,5,0,0.673267327
1658,6,0.1,0.589065256
2176,4,0,0.626984127
1740,3,0,0.601980198
978,2,0,0.772277228
1040,1,0.08,0.686067019
228,4,0.33,0.695020747
2158,1,0.26,0.579365079
1889,6,0,0.607619048
582,6,0,0.6
614,7,0,0.590828924
1336,4,0,0.791666667
